swapSweep(_drplCompressionPointCurve("Output-referred") "r") (XdbLevel=1) X,swapSweep(_drplCompressionPointCurve("Output-referred") "r") (XdbLevel=1) Y
10,9.579816279064168
11,9.833973201830556
12,10.04374638820743
13,10.21477858840887
14,10.35157333932431
15,10.45787566605368
16,10.5369230458062
17,10.59160672655992
18,10.62457027530504
19,10.63826378677759
20,10.63597400171459
21,10.61871439309392
22,10.58833351407923
23,10.54659645289838
24,10.49509841346397
25,10.43526925438376
26,10.36837800443124
27,10.29554299395301
28,10.21774357711959
29,10.1358324601773
30,9.974750886665763
31,9.908330896838599
32,9.840158027887057
33,9.770708901807261
34,9.700391452585396
35,9.619606953864107
36,9.522477648471146
37,9.425058611495135
38,9.327569582157587
39,9.230195166874029
40,9.136566758475166
41,9.039597484429994
42,8.94315414952985
43,8.847329442407208
44,8.752201147994086
45,8.657832598558201
46,8.564276226333252
47,8.471573988422392
48,8.379759651130598
49,8.288859020458389
50,8.19889189401043
