imag(YP("/PORT1" "/PORT1")) / (2 * 3.14 * xval(YP("/PORT1" "/PORT1"))) X,imag(YP("/PORT1" "/PORT1")) / (2 * 3.14 * xval(YP("/PORT1" "/PORT1"))) Y
3000000000,4.644090679888031e-13
3030000000,4.643704403330268e-13
3060000000,4.64331461125221e-13
3090000000,4.642921314180392e-13
3120000000,4.642524522685558e-13
3150000000,4.642124247383763e-13
3180000000,4.641720498937344e-13
3210000000,4.641313288055769e-13
3240000000,4.640902625496423e-13
3270000000,4.640488522065253e-13
3300000000,4.64007278619039e-13
3330000000,4.639650036057605e-13
3360000000,4.63922567534079e-13
3390000000,4.638797917472305e-13
3420000000,4.638366775125051e-13
3450000000,4.63793225618469e-13
3480000000,4.637494373414122e-13
3510000000,4.637054826395794e-13
3540000000,4.636608561272204e-13
3570000000,4.636160654474295e-13
3600000000,4.635711075079453e-13
3630000000,4.635254896243799e-13
3660000000,4.63479706769297e-13
3690000000,4.634337560719676e-13
3720000000,4.633871569308478e-13
3750000000,4.633403922663071e-13
3780000000,4.632933026592248e-13
3810000000,4.632460447998938e-13
3840000000,4.631983076113909e-13
3870000000,4.631500959283159e-13
3900000000,4.631017183215941e-13
3930000000,4.630531724420533e-13
3960000000,4.630041568226237e-13
3990000000,4.629546760988131e-13
4020000000,4.629050295624732e-13
4050000000,4.628550688098197e-13
4080000000,4.628047950568005e-13
4110000000,4.627542095240431e-13
4140000000,4.627033134368109e-13
4170000000,4.626521080249572e-13
4200000000,4.626005945228769e-13
4230000000,4.625489142130275e-13
4260000000,4.624966482080304e-13
4290000000,4.624442178863193e-13
4320000000,4.62391621575179e-13
4350000000,4.623384491745889e-13
4380000000,4.622851133015088e-13
4410000000,4.62231612415224e-13
4440000000,4.621775448446941e-13
4470000000,4.621234473085241e-13
4500000000,4.620687892532398e-13
4530000000,4.620139694769054e-13
4560000000,4.61958856758634e-13
4590000000,4.619035814192873e-13
4620000000,4.618477576547248e-13
4650000000,4.617917738576981e-13
4680000000,4.617355022958416e-13
4710000000,4.616789442725845e-13
4740000000,4.616221010948965e-13
4770000000,4.615649740732284e-13
4800000000,4.61507564521449e-13
4830000000,4.614498737567845e-13
4860000000,4.613919030997553e-13
4890000000,4.613337749679051e-13
4920000000,4.612751274067889e-13
4950000000,4.612163250278089e-13
4980000000,4.611572480702529e-13
5010000000,4.610978978701804e-13
5040000000,4.610382757665715e-13
5070000000,4.609784998826799e-13
5100000000,4.609182212188717e-13
5130000000,4.608579068779393e-13
5160000000,4.607970951949578e-13
5190000000,4.607361337560751e-13
5220000000,4.606749085052762e-13
5250000000,4.606134208001944e-13
5280000000,4.605516720008728e-13
5310000000,4.604896634697024e-13
5340000000,4.604273965713547e-13
5370000000,4.603648726727192e-13
5400000000,4.603020931428409e-13
5430000000,4.602390593528539e-13
5460000000,4.601757726759202e-13
5490000000,4.601122344871638e-13
5520000000,4.60048446163608e-13
5550000000,4.599844090841118e-13
5580000000,4.599201246293055e-13
5610000000,4.598555941815278e-13
5640000000,4.597908191247636e-13
5670000000,4.597258008445777e-13
5700000000,4.596605407280546e-13
5730000000,4.595950401637336e-13
5760000000,4.595293005415476e-13
5790000000,4.59463323252757e-13
5820000000,4.593971096898931e-13
5850000000,4.593306612466881e-13
5880000000,4.59263979318019e-13
5910000000,4.591970652998417e-13
5940000000,4.59129920589132e-13
5970000000,4.590625465838201e-13
6000000000,4.589949446827335e-13
