swapSweep(_drplCompressionPointCurve("Output-referred") "fin") (XdbLevel=1) X,swapSweep(_drplCompressionPointCurve("Output-referred") "fin") (XdbLevel=1) Y
1000000000,-18.94244610317589
1100000000,-16.10001899712179
1200000000,-13.43712520424597
1300000000,-10.92013028641498
1400000000,-8.511064532254593
1500000000,-6.172750126150881
1600000000,-3.890469471219824
1700000000,-1.653697111380342
1800000000,0.5519392419065063
1900000000,2.740347517093284
2000000000,4.915152021516263
2100000000,7.037862323173382
2200000000,9.132399584821055
2300000000,10.94819974477352
2400000000,12.41311710908512
2500000000,13.49733951951956
2600000000,14.28167002683135
2700000000,14.77670286774896
2800000000,15.19399818886789
2900000000,15.52348199315028
3000000000,15.81600033689257
3100000000,16.06664601402877
3200000000,16.26723541155244
3300000000,16.41215421089769
3400000000,16.50373259393015
3500000000,16.54982738736571
3600000000,16.56114896385854
3700000000,16.54798735644925
3800000000,16.5184479816003
3900000000,16.47824730447421
4000000000,16.43125785322005
4100000000,16.38015651055014
4200000000,16.32688418194228
4300000000,16.27286202470692
4400000000,16.21898429979891
4500000000,16.1655094549412
4600000000,16.11199255938298
4700000000,16.05647964836382
4800000000,15.99902070366912
4900000000,15.93673945412
5000000000,15.86730384676145
5100000000,15.78814307785724
5200000000,15.69648309624201
5300000000,15.58938955805361
5400000000,15.46385052141141
5500000000,15.3169363825132
5600000000,15.14607649601374
5700000000,14.94947287890307
5800000000,14.72661598663732
5900000000,14.47955648953142
6000000000,14.20818797916346
6100000000,13.91962765563607
6200000000,13.61853012311769
6300000000,13.30818741097094
6400000000,12.99005575276824
6500000000,12.66490961447525
6600000000,12.33490257859695
6700000000,12.00420291739741
6800000000,11.67714699731356
6900000000,11.36199010763479
7000000000,11.04565694823998
7100000000,10.73130936864278
7200000000,10.41547181604131
7300000000,10.09499192800114
7400000000,9.767719585623503
7500000000,9.43269330185996
7600000000,9.088660070306148
7700000000,8.738210882157624
7800000000,8.382068941577323
7900000000,8.021571073926658
8000000000,7.657247654044305
8100000000,7.289036285136003
8200000000,6.93801939727204
8300000000,6.541212987751699
8400000000,6.164756922917825
8500000000,5.797545886805725
8600000000,5.404563989224464
8700000000,5.024312399923126
8800000000,4.644149047041349
8900000000,4.264345587898227
9000000000,3.885234655931953
9100000000,3.507145988431958
9200000000,3.130376746945728
9300000000,2.755178996021666
9400000000,2.381759543888666
9500000000,2.010277697283335
9600000000,1.640858153507452
9700000000,1.27360140018639
9800000000,0.9085907195828788
9900000000,0.5459096471364475
10000000000,0.1856488734843182
