dB20(VF("/net2")) X,dB20(VF("/net2")) Y
1000000000,-2.324059920772232
1140000000,1.624312614019711
1280000000,5.262151589995916
1420000000,8.677829246064343
1560000000,11.93663124375331
1700000000,15.08757635033469
1840000000,18.1653535771119
1980000000,21.18681271128587
2120000000,24.13907690726282
2260000000,26.95538059523231
2400000000,29.48472510742141
2540000000,31.50210943347114
2680000000,32.83558254170916
2820000000,33.52837059263693
2960000000,33.79896280044485
3100000000,33.86490468195227
3240000000,33.85870477275891
3380000000,33.84077437479966
3520000000,33.83162713053014
3660000000,33.83377646046014
3800000000,33.84312408204664
3940000000,33.85430515211066
4080000000,33.86299802374096
4220000000,33.86672976367707
4360000000,33.86491753072523
4500000000,33.8585248723961
4640000000,33.84954847994626
4780000000,33.84046468662894
4920000000,33.83370735015183
5060000000,33.83120563623446
5200000000,33.8339800929511
5340000000,33.84177903531911
5480000000,33.85273482071531
5620000000,33.86303124147885
5760000000,33.86660003628787
5900000000,33.85490743573298
6040000000,33.81694718018588
6180000000,33.73960773750221
6320000000,33.60858917078334
6460000000,33.40995187657604
6600000000,33.13214920457514
6740000000,32.7680867692192
6880000000,32.31655039919164
7020000000,31.78246095909735
7160000000,31.17585952896271
7300000000,30.51003518469399
7440000000,29.7994561569718
7580000000,29.05805925126421
7720000000,28.29815465745126
7860000000,27.52992998252128
8000000000,26.76139426644597
